fromNode	toNode	weight	direction	fromAltName	toAltName
DPH6-AS1	GPR98	0.633006329020335	undirected	NA	NA
DPH6-AS1	LRRC16A	0.634658963959633	undirected	NA	NA
PRKN	SEPTIN7	0.629704101948188	undirected	NA	NA
PRKN	TUT4	0.635455699301732	undirected	NA	NA
PRKN	MROH7	0.643455461395095	undirected	NA	NA
PRKN	AC002460.2	0.636244617129648	undirected	NA	NA
PRKN	PANTR1	0.63936708710688	undirected	NA	NA
PRKN	ADGRA3	0.630783034637109	undirected	NA	NA
PRKN	TENT2	0.628571649662982	undirected	NA	NA
PRKN	FXYD1	0.645654426586485	undirected	NA	NA
PRKN	HHATL	0.630580633292331	undirected	NA	NA
PRKN	NSD3	0.628106437224452	undirected	NA	NA
PRKN	AF117829.1	0.643551694266939	undirected	NA	NA
PRKN	RABGEF1	0.65451197214253	undirected	NA	NA
PRKN	AL160272.1	0.639882353496973	undirected	NA	NA
PRKN	STX16	0.636569298010845	undirected	NA	NA
PRKN	METRN	0.629525534084364	undirected	NA	NA
PRKN	AL391807.1	0.631372529037748	undirected	NA	NA
PRKN	AC011346.1	0.642063885944728	undirected	NA	NA
PRKN	LINC00472	0.64200182724428	undirected	NA	NA
PRKN	NIPSNAP2	0.631641985745914	undirected	NA	NA
PRKN	AC053527.2	0.631355877203725	undirected	NA	NA
PRKN	DGLUCY	0.638997816331578	undirected	NA	NA
PRKN	BEX3	0.632832647520284	undirected	NA	NA
PRKN	LARGE1	0.627970652760532	undirected	NA	NA
PRKN	AC079352.1	0.634608278123439	undirected	NA	NA
PRKN	AC009120.2	0.628010757389071	undirected	NA	NA
PRKN	SPART	0.630754978151514	undirected	NA	NA
PRKN	KREMEN1	0.631716997724578	undirected	NA	NA
PRKN	AC104596.1	0.646736005386503	undirected	NA	NA
PRKN	KMT5B	0.629582837699063	undirected	NA	NA
PRKN	OAZ1	0.6309246037017	undirected	NA	NA
PRKN	AC025159.1	0.635942285764643	undirected	NA	NA
PRKN	TASOR2	0.630707923968782	undirected	NA	NA
PRKN	CCDC144A	0.634212323670085	undirected	NA	NA
PRKN	DIPK1A	0.629981898576731	undirected	NA	NA
PRKN	ATF7	0.63685585101035	undirected	NA	NA
PRKN	SPRY4-AS1	0.631566879281126	undirected	NA	NA
PRKN	AC008014.1	0.637663713618041	undirected	NA	NA
PRKN	BMERB1	0.628108368528008	undirected	NA	NA
